city,date,hightest_tem,lowest_tem
成都,2011-01-01,4,-2
成都,2011-01-02,3,-2
成都,2011-01-03,3,0
成都,2011-01-04,3,-3
成都,2011-01-05,3,-5
成都,2011-01-06,2,-3
成都,2011-01-07,8,2
成都,2011-01-08,5,0
成都,2011-01-09,5,1
成都,2011-01-10,5,-3
成都,2011-01-11,6,-2
成都,2011-01-12,6,3
成都,2011-01-13,7,3
成都,2011-01-14,8,2
成都,2011-01-15,5,0
成都,2011-01-16,4,-3
成都,2011-01-26,4,2
成都,2011-01-29,6,1
成都,2011-01-30,7,0
成都,2011-01-31,7,2
成都,2011-03-01,18,5
成都,2011-03-02,17,8
成都,2011-03-03,18,7
成都,2011-03-04,14,8
成都,2011-03-05,12,7
成都,2011-03-06,16,6
成都,2011-03-07,16,8
成都,2011-03-08,16,6
成都,2011-03-09,12,10
成都,2011-03-10,12,7
成都,2011-03-11,14,6
成都,2011-03-12,17,7
成都,2011-03-13,17,9
成都,2011-03-14,12,8
成都,2011-03-15,15,5
成都,2011-03-16,14,4
成都,2011-03-17,15,4
成都,2011-03-18,17,7
成都,2011-03-19,14,9
成都,2011-03-20,12,8
成都,2011-03-21,8,3
成都,2011-03-22,9,4
成都,2011-03-23,9,4
成都,2011-03-24,9,3
成都,2011-03-25,13,7
成都,2011-03-26,13,6
成都,2011-03-27,15,4
成都,2011-03-28,19,6
成都,2011-03-29,17,10
成都,2011-03-30,17,9
成都,2011-03-31,17,10
成都,2012-01-01,9,5
成都,2012-01-02,7,4
成都,2012-01-03,6,2
成都,2012-01-04,7,0
成都,2012-01-05,5,0
成都,2012-01-06,7,3
成都,2012-01-07,7,0
成都,2012-01-08,7,3
成都,2012-01-09,8,3
成都,2012-01-10,7,3
成都,2012-01-11,8,4
成都,2012-01-12,7,3
成都,2012-01-13,7,3
成都,2012-01-14,9,3
成都,2012-01-16,8,4
成都,2012-01-17,9,4
成都,2012-01-18,8,4
成都,2012-01-19,8,4
成都,2012-01-20,6,3
成都,2012-01-21,5,2
成都,2012-01-22,5,1
成都,2012-01-23,6,0
成都,2012-01-24,7,1
成都,2012-01-25,8,1
成都,2012-01-26,7,1
成都,2012-01-27,7,3
成都,2012-01-28,9,3
成都,2012-01-29,9,4
成都,2012-01-30,10,4
成都,2012-01-31,11,4
成都,2012-02-01,10,6
成都,2012-02-02,8,2
成都,2012-02-03,9,2
成都,2012-02-04,11,4
成都,2012-02-05,9,3
成都,2012-02-06,11,4
成都,2012-02-07,9,3
成都,2012-02-08,6,4
成都,2012-02-09,6,3
成都,2012-02-10,7,2
成都,2012-02-11,8,2
成都,2012-02-12,9,3
成都,2012-02-13,9,2
成都,2012-02-14,11,3
成都,2012-02-15,11,3
成都,2012-02-16,11,3
成都,2012-02-17,11,3
成都,2012-02-18,9,3
成都,2012-02-19,8,1
成都,2012-02-20,10,3
成都,2012-02-21,11,4
成都,2012-02-22,13,5
成都,2012-02-23,14,2
成都,2012-02-24,11,6
成都,2012-02-25,9,6
成都,2012-02-26,8,5
