price,size,layout,floornum,floor,direction,village,district,region,score,take_look
11000,88,2室2厅1卫,45—50,有电梯,东东南,恒大都汇华庭,锦江,合江亭,5,0
750,15,1室0厅0卫合租,0—9,无电梯,南,怡心园,锦江,水碾河,4.9,0
2500,86.24,3室1厅1卫,31—35,有电梯,东北,蓝谷地天域,锦江,蓝谷地,4.9,1
1800,40,1室0厅1卫整租,26—30,有电梯,东南,上海东韵,锦江,攀成钢,5,8
2000,42,1室1厅1卫,36—40,有电梯,西南,俊发星雅俊园,锦江,三圣乡,0,0
7500,125,3室2厅2卫,31—35,有电梯,南,仁恒滨河湾,锦江,东大路,5,1
4500,110,3室2厅2卫,31—35,有电梯,东南,鑫苑名家二期,锦江,卓锦城,5,1
3000,77.24,2室1厅1卫,31—35,有电梯,东北,翡翠城五期,锦江,东湖,5,0
1800,72.57,1室1厅1卫,31—35,有电梯,南,正成翡翠琉璃,锦江,琉璃场,5,0
3500,75,2室1厅1卫,26—30,有电梯,东,财富中心,锦江,盐市口,5,0
1400,35,1室0厅1卫整租,31—35,有电梯,西南,蓝润V客东都一期,锦江,三圣乡,5,1
5000,152,3室1厅2卫整租,31—35,有电梯,东南,ICC天曜,锦江,东大路,5,0
1300,45.73,1室1厅1卫,21—25,有电梯,东南,海桐三期,锦江,蓝谷地,5,3
3500,136,3室1厅2卫,10—15,有电梯,西南,蓝谷地三四期,锦江,蓝谷地,0,0
4500,87,2室1厅2卫,31—35,有电梯,南,COSMO天廊,锦江,沙河堡,5,0
2500,108.98,3室1厅2卫,0—9,无电梯,东南,金泉街48号,锦江,合江亭,5,1
2100,91,3室1厅1卫,31—35,有电梯,东南,人居锦尚春天B区,锦江,三圣乡,5,1
2500,41,1室1厅1卫,36—40,有电梯,东南,俊发星雅俊园,锦江,三圣乡,0,0
4000,69.89,2室2厅1卫,31—35,有电梯,南,皇后国际,锦江,盐市口,4.9,1
800,12,1室1厅1卫,26—30,有电梯,东南,比华利国际城二期,锦江,川师,4.9,0
2000,48,1室1厅1卫,26—30,有电梯,东南,永兴佳苑,锦江,东湖,4.6,0
2800,59.04,2室1厅1卫整租,21—25,有电梯,南,蜀都花园,锦江,水碾河,4.6,5
2000,55,1室1厅1卫,31—35,有电梯,南,镏金岁月,锦江,攀成钢,5,1
1300,63,2室1厅1卫,21—25,有电梯,东南,绿岛筑,锦江,三圣乡,0,2
1300,95,2室1厅1卫整租,21—25,有电梯,东南,卓锦城二期,锦江,卓锦城,5,1
300,30.59,1室0厅0卫,-1,无电梯,东南,翡翠城五期,锦江,东湖,5,0
1600,97.29,2室2厅1卫,21—25,有电梯,东南,卓锦城二期,锦江,卓锦城,4.6,0
7000,88,2室1厅1卫,45—50,有电梯,东,恒大都汇华庭,锦江,合江亭,5,0
2200,88,3室1厅1卫,31—35,有电梯,东南,锦江城市花园一期,锦江,三圣乡,5,0
1400,23,1室1厅1卫,31—35,有电梯,东南,蓝润V客东都二期,锦江,三圣乡,5,0
1500,39.5,1室0厅1卫,10—15,有电梯,西南,尖东旺座二期,锦江,水碾河,5,0
2200,75,3室1厅1卫整租,31—35,有电梯,东,万科金色城市二期,锦江,三圣乡,5,0
1950,68,2室1厅1卫整租,31—35,有电梯,东,万科金色城市二期,锦江,三圣乡,5,0
1100,20,1室0厅0卫,16—20,有电梯,南,海成大厦,锦江,合江亭,0,0
3500,58,2室1厅1卫,31—35,有电梯,东南,弘邦领邸,锦江,盐市口,5,0
7600,155,3室2厅2卫,31—35,有电梯,北,时代豪庭一期,锦江,合江亭,5,0
4600,112,3室2厅2卫整租,31—35,有电梯,东,乐天圣苑,锦江,东大路,4.9,4
2000,50,1室1厅1卫,31—35,有电梯,东南,交大绿岭一期,锦江,静居寺,5,0
1400,37.8,1室1厅1卫,0—9,无电梯,东南,中道街99号,锦江,红星路,5,4
12000,182.31,4室2厅2卫,26—30,有电梯,南,ICC天曜,锦江,东大路,5,0
3300,85.36,2室1厅1卫,31—35,有电梯,西北,望江橡树林一期,锦江,三官堂,5,0
1800,72,2室1厅1卫整租,31—35,有电梯,东南,锦江城市花园二期,锦江,三圣乡,5,1
2500,53.4,1室1厅1卫,31—35,有电梯,东北,望江橡树林一期,锦江,三官堂,5,1
1900,54,2室1厅1卫整租,31—35,有电梯,东南,蓝润V客东都一期,锦江,三圣乡,0,0
2200,54,1室1厅1卫,31—35,有电梯,东南,交大绿岭一期,锦江,静居寺,5,2
2900,87.1,2室1厅1卫,31—35,有电梯,南,澳龙名城,锦江,攀成钢,5,1
2400,81,2室2厅1卫,16—20,有电梯,南,绿野天城,锦江,攀成钢,5,0
4500,85,2室1厅2卫,31—35,有电梯,东南,COSMO天廊,锦江,沙河堡,5,0
2300,74.68,2室2厅1卫,31—35,有电梯,东,望江橡树林一期,锦江,三官堂,5,0
2200,89.89,2室2厅1卫整租,21—25,有电梯,东南,卓锦城三期,锦江,卓锦城,0,0
2600,100,3室1厅1卫,0—9,无电梯,南,慈惠堂街16号,锦江,盐市口,5,1
1800,127,3室2厅2卫整租,31—35,有电梯,东南,卓锦城四期,锦江,卓锦城,5,1
