id,city,month,avg_high_tem,avg_low_tem,extreme_high_tem,extreme_low_tem,avg_air_quality,best_air,best_air_date,worst_air,worst_air_date
1,鞍山,2022年04月历史天气,19℃,9℃,26℃,1℃,72,16,04/30,128,04/17
2,鞍山,2022年03月历史天气,9℃,0℃,19℃,-6℃,69,18,03/16,120,03/04
3,鞍山,2022年02月历史天气,0℃,-8℃,10℃,-16℃,78,18,02/26,138,02/10
4,鞍山,2022年01月历史天气,-1℃,-10℃,7℃,-15℃,137,33,01/10,242,01/21
5,鞍山,2021年12月历史天气,0℃,-6℃,10℃,-19℃,104,18,12/12,190,12/14
6,鞍山,2021年11月历史天气,6℃,0℃,20℃,-7℃,103,16,11/22,191,11/16
7,鞍山,2021年10月历史天气,16℃,8℃,22℃,-1℃,78,19,10/13,138,10/25
8,鞍山,2021年09月历史天气,24℃,16℃,30℃,11℃,63,14,09/21,113,09/24
9,鞍山,2021年08月历史天气,27℃,20℃,31℃,18℃,82,16,08/20,149,08/31
10,鞍山,2021年07月历史天气,30℃,23℃,35℃,20℃,33,9,07/16,57,07/07
11,鞍山,2021年06月历史天气,26℃,18℃,32℃,14℃,64,14,06/02,115,06/07
12,鞍山,2021年05月历史天气,23℃,14℃,31℃,8℃,83,18,05/15,149,05/21
13,鞍山,2021年04月历史天气,17℃,8℃,27℃,2℃,125,20,04/12,231,04/09
14,鞍山,2021年03月历史天气,10℃,2℃,21℃,-10℃,273,46,03/05,500,03/29
15,鞍山,2021年02月历史天气,3℃,-4℃,26℃,-17℃,108,33,02/07,184,02/19
16,鞍山,2021年01月历史天气,-3℃,-10℃,8℃,-22℃,202,28,01/29,377,01/26
17,鞍山,2020年12月历史天气,-1℃,-8℃,5℃,-19℃,86,31,12/14,141,12/09
18,鞍山,2020年11月历史天气,7℃,0℃,22℃,-8℃,151,23,11/27,279,11/16
19,鞍山,2020年10月历史天气,16℃,7℃,23℃,1℃,98,22,10/03,174,10/29
20,鞍山,2020年09月历史天气,22℃,14℃,29℃,7℃,59,14,09/09,105,09/25
21,鞍山,2020年08月历史天气,28℃,22℃,32℃,16℃,55,12,08/31,99,08/30
22,鞍山,2020年07月历史天气,29℃,22℃,34℃,19℃,45,13,07/06,77,07/01
23,鞍山,2020年06月历史天气,28℃,20℃,34℃,13℃,55,20,06/02,90,06/08
24,鞍山,2020年05月历史天气,22℃,13℃,31℃,6℃,113,30,05/18,196,05/10
25,鞍山,2020年04月历史天气,16℃,6℃,25℃,-1℃,165,47,04/19,283,04/06
26,鞍山,2020年03月历史天气,9℃,0℃,19℃,-5℃,125,32,03/26,219,03/20
27,鞍山,2020年02月历史天气,2℃,-6℃,13℃,-17℃,124,35,02/04,213,02/21
28,鞍山,2020年01月历史天气,-1℃,-9℃,5℃,-14℃,270,40,01/12,500,01/01
29,鞍山,2019年12月历史天气,0℃,-7℃,8℃,-17℃,135,24,12/05,246,12/29
30,鞍山,2019年11月历史天气,6℃,-1℃,15℃,-9℃,75,28,11/07,122,11/04
31,鞍山,2019年10月历史天气,17℃,7℃,29℃,0℃,108,16,10/10,201,10/19
